RK,TIERS,PLAYER NAME,TEAM,POS,AGE,BEST,WORST,AVG.,STD.DEV,ECR VS. ADP
293,13,Demarcus Robinson,SF,WR121,30,240,330,277.8,23.6,-
294,13,Jahan Dotson,PHI,WR122,25,241,310,272.3,22.6,-
295,13,Cade Stover,HOU,TE46,25,249,275,265.9,7.9,-
296,13,Ty Johnson,BUF,RB92,27,243,329,287.1,25.6,-
297,13,Dameon Pierce,HOU,RB93,25,253,340,287.1,25.5,-
298,14,Alexander Mattison,MIA,RB94,27,265,335,287.2,20.8,-
299,14,Curtis Samuel,BUF,WR123,28,237,308,273.3,23.6,-
300,14,John Metchie III,HOU,WR124,25,239,331,267,30.8,-
301,14,Jalin Hyatt,NYG,WR125,23,254,314,280.4,16.4,-
302,14,Jalen Nailor,MIN,WR126,26,230,316,274.9,24.4,-
303,14,Dawson Knox,BUF,TE47,28,241,290,271,14.6,-
304,14,AJ Barner,SEA,TE48,23,257,324,279.5,20.7,-
305,14,Devontez Walker,BAL,WR127,24,249,336,287.4,24.1,-
306,14,Cam Akers,NO,RB95,26,255,306,274.5,14.3,-
307,14,Darnell Washington,PIT,TE49,23,262,304,283.2,13.6,-
308,14,KeAndre Lambert-Smith,LAC,WR128,23,258,335,288.9,25.2,-
309,14,Noah Brown,WAS,WR129,29,244,301,276.5,17.8,-
310,14,Erick All Jr.,CIN,TE50,24,264,307,284.8,15.2,-
311,14,Ty Chandler,MIN,RB96,27,260,324,285.9,18.8,-
312,14,LeQuint Allen Jr.,JAC,RB97,20,256,328,286.8,24.5,-
313,14,Zamir White,LV,RB98,25,258,338,297.4,24.5,-
314,14,Thomas Fidone II,NYG,TE51,22,209,286,255.4,26.4,-
315,14,Luke Schoonmaker,DAL,TE52,26,271,312,287.4,14.2,-
316,14,A.J. Dillon,PHI,RB99,27,248,333,293.2,24.8,-
317,14,Ricky White III,SEA,WR130,23,243,349,294.9,31.3,-
318,14,Ray-Ray McCloud III,ATL,WR131,28,244,347,289.3,35.9,-
319,14,Jacob Cowing,SF,WR132,24,262,322,299.9,20.3,-
320,14,Austin Hooper,NE,TE53,30,258,328,287,19.5,-
321,14,Dillon Gabriel,CLE,QB37,24,156,255,221.7,46.4,-
322,14,Treylon Burks,TEN,WR133,25,226,350,290.9,35.7,-
323,14,Josh Reynolds,NYJ,WR134,30,173,321,253.8,53.9,-
324,14,Will Howard,PIT,QB38,23,153,198,175.5,22.5,-
325,14,Kendrick Bourne,NE,WR135,30,255,343,293.4,28,-
326,14,Daniel Bellinger,NYG,TE54,24,261,326,299.3,22.8,-
327,14,Joe Flacco,CLE,QB39,40,149,211,180,31,-
328,14,Efton Chism III,NE,WR136,-,227,319,287.2,40.9,-
329,14,Arian Smith,NYJ,WR137,23,245,320,288.2,26.3,-
330,14,Marquez Valdes-Scantling,SEA,WR138,30,278,331,301.4,20.5,-
331,14,Kalel Mullings,TEN,RB100,22,235,294,263,21.3,-
332,14,Tim Patrick,DET,WR139,31,196,348,290.3,51.5,-
333,14,KaVontae Turpin,DAL,WR140,29,258,337,296.7,25.2,-
334,14,Allen Lazard,NYJ,WR141,29,210,351,284,60.7,-
335,14,Jonathan Mingo,DAL,WR142,24,265,341,298.9,20.8,-
336,14,Chris Rodriguez Jr.,WAS,RB101,25,230,297,269.3,28.2,-
337,14,Greg Dortch,ARI,WR143,27,270,345,305.6,21.7,-
338,14,Mitchell Evans,CAR,TE55,22,249,325,294,23.9,-
339,14,Phil Mafah,DAL,RB102,22,242,300,273.8,24.9,-
340,14,Foster Moreau,NO,TE56,28,262,333,297.2,26.4,-
341,14,Darren Waller,MIA,TE57,32,214,327,276.8,41.2,-
342,14,Mack Hollins,NE,WR144,31,261,288,278,10.2,-
343,14,Jeremy Ruckert,NYJ,TE58,24,262,313,290.4,19.3,-
344,14,Raheim Sanders,LAC,RB103,23,252,333,298.8,31.7,-
345,14,Jordan Watkins,SF,WR145,23,262,339,299.5,26.6,-
346,14,Chris Brooks,GB,RB104,25,259,326,291.8,24,-
347,14,Will Levis,TEN,QB40,26,205,237,221,16,-
348,14,Kenny Pickett,CLE,QB41,27,204,244,224,20,-
349,14,Nick Nash,ATL,WR146,25,242,325,283.8,32,-
350,14,Gus Edwards,FA,RB105,30,264,337,295,27.6,-
351,14,Colby Parkinson,LAR,TE59,26,277,325,297.2,20.1,-
352,14,Luke Lachey,HOU,TE60,24,257,312,287.8,22.1,-
353,14,Grant Calcaterra,PHI,TE61,26,265,324,288.8,22.8,-
354,14,Jelani Woods,IND,TE62,26,277,307,290.3,11.2,-
355,14,Emanuel Wilson,GB,RB106,26,291,310,301,8,-
356,14,Gavin Bartholomew,MIN,TE63,22,278,304,292.5,9.6,-
357,15,Donovan Edwards,NYJ,RB107,22,245,316,280,29,-
358,15,Spencer Rattler,NO,QB42,24,229,280,254.5,25.5,-
359,15,Marcus Yarns,NO,RB108,23,278,311,298.3,13.2,-
